,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
50,2017-09-23,Burnley,Huddersfield,0,0,NH,6,5,5,3,1.3333333333333333,1.3333333333333333,D,W,D,L,W,D,L,D,W,W,18.0,16.0,6.0,DWDLW,DLDWW,8,8,0,0,0,0,0,0,0,0,0.16666666666666666,0.3333333333333333,0.0,0.0,2.0
51,2017-09-23,Everton,Bournemouth,2,1,H,2,3,10,9,0.6666666666666666,0.5,L,L,L,D,W,W,L,L,L,L,18.0,18.0,6.0,LLLDW,WLLLL,4,3,0,0,0,0,0,0,1,0,-1.3333333333333333,-1.0,0.16666666666666666,0.16666666666666666,0.0
52,2017-09-23,Leicester,Liverpool,2,3,NH,7,9,9,9,0.6666666666666666,1.3333333333333333,D,L,L,W,L,D,L,W,W,D,4.0,1.0,6.0,DLLWL,DLWWD,4,8,0,0,0,0,0,0,0,0,-0.3333333333333333,0.0,-0.6666666666666666,-0.6666666666666666,3.0
53,2017-09-23,Man City,Crystal Palace,5,0,H,16,0,2,8,2.1666666666666665,0.0,W,W,W,D,W,L,L,L,L,L,2.0,18.0,6.0,WWWDW,LLLLL,13,0,0,0,0,0,0,0,1,1,2.3333333333333335,-1.3333333333333333,2.1666666666666665,2.1666666666666665,-16.0
54,2017-09-23,Southampton,Man United,0,1,NH,4,16,4,2,1.3333333333333333,2.1666666666666665,W,L,D,W,D,W,D,W,W,W,19.0,18.0,6.0,WLDWD,WDWWW,8,13,0,0,0,0,1,0,0,0,0.0,2.3333333333333335,-0.8333333333333334,-0.8333333333333334,1.0
55,2017-09-23,Stoke,Chelsea,0,4,NH,5,8,6,5,0.8333333333333334,1.6666666666666667,L,D,D,W,L,D,W,W,W,L,18.0,18.0,6.0,LDDWL,DWWWL,5,10,0,0,0,0,0,0,0,0,-0.16666666666666666,0.5,-0.8333333333333334,-0.8333333333333334,0.0
56,2017-09-23,Swansea,Watford,1,2,NH,2,7,5,9,0.8333333333333334,1.3333333333333333,D,L,W,L,D,L,W,D,W,D,3.0,20.0,6.0,DLWLD,LWDWD,5,8,0,0,0,0,0,0,0,0,-0.5,-0.3333333333333333,-0.5,-0.5,-17.0
57,2017-09-23,West Ham,Tottenham,2,3,NH,4,7,10,3,0.6666666666666666,1.3333333333333333,D,W,L,L,L,D,W,D,L,W,18.0,14.0,6.0,DWLLL,DWDLW,4,8,0,0,1,0,0,0,0,0,-1.0,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,4.0
58,2017-09-24,Brighton,Newcastle,1,0,H,4,6,7,4,0.6666666666666666,1.5,L,W,D,L,L,W,W,W,L,L,15.0,18.0,6.0,LWDLL,WWWLL,4,9,0,0,0,0,0,0,0,0,-0.5,0.3333333333333333,-0.8333333333333334,-0.8333333333333334,-3.0
59,2017-09-25,Arsenal,West Brom,2,0,H,7,4,8,4,1.1666666666666667,1.3333333333333333,D,W,L,L,W,D,L,D,W,W,6.0,13.0,6.0,DWLLW,DLDWW,7,8,0,0,0,0,0,0,0,0,-0.16666666666666666,0.0,-0.16666666666666666,-0.16666666666666666,-7.0
